transaction_datetime,account_created_date,birth_date,amount,category,transaction_datetime_year,transaction_datetime_month,transaction_datetime_day,transaction_datetime_dayofweek,transaction_datetime_dayofyear,transaction_datetime_hour,transaction_datetime_minute,transaction_datetime_quarter,transaction_datetime_is_weekend,transaction_datetime_is_month_start,transaction_datetime_is_month_end,transaction_datetime_is_quarter_start,transaction_datetime_is_quarter_end,transaction_datetime_day_name,transaction_datetime_month_name,transaction_datetime_week_of_year,transaction_datetime_hour_sin,transaction_datetime_hour_cos,transaction_datetime_month_sin,transaction_datetime_month_cos,transaction_datetime_dayofweek_sin,transaction_datetime_dayofweek_cos,account_age_days,account_age_weeks,account_age_months,age_years,age_group,transaction_datetime_days_since,transaction_datetime_weeks_since,transaction_datetime_months_since,transaction_datetime_years_since,is_business_hours,time_of_day,season,is_holiday_season,is_business_day
2023-04-13 08:16:00,2022-05-05,1965-05-25,100.78983501827946,Electronics,2023,4,13,3,103,8,16,2,0,0,0,0,0,Thursday,April,15,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,343,49,11,59,56-65,627,89,20,1,0,Morning,Spring,0,1
2024-03-11 08:10:00,2022-07-25,1969-08-07,122.00358649423254,Food,2024,3,11,0,71,8,10,1,0,0,0,0,0,Monday,March,11,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.0,1.0,595,85,19,55,46-55,294,42,9,0,0,Morning,Winter,0,1
2023-09-28 14:23:00,2020-10-28,1998-06-21,80.14261026828041,Books,2023,9,28,3,271,14,23,3,0,0,0,0,0,Thursday,September,39,-0.5000000000000001,-0.8660254037844386,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1065,152,34,26,26-35,459,65,15,1,1,Afternoon,Summer,0,1
2023-04-17 05:54:00,2022-08-22,1979-03-19,99.65964430674158,Food,2023,4,17,0,107,5,54,2,0,0,0,0,0,Monday,April,16,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0.0,1.0,238,34,7,45,36-45,623,89,20,1,0,Night,Spring,0,1
2023-03-13 02:29:00,2020-04-10,1981-04-12,53.03126630831643,Electronics,2023,3,13,0,72,2,29,1,0,0,0,0,0,Monday,March,11,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,1067,152,35,43,36-45,658,94,21,1,0,Night,Winter,0,1
2024-12-01 16:04:00,2021-12-24,1997-03-04,264.77753957157836,Food,2024,12,1,6,336,16,4,4,1,1,0,0,0,Sunday,December,48,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,1073,153,35,27,26-35,29,4,0,0,1,Afternoon,Fall,1,0
2023-01-21 11:49:00,2021-05-15,1964-07-26,187.27041835094172,Books,2023,1,21,5,21,11,49,1,1,0,0,0,0,Saturday,January,3,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,616,88,20,60,56-65,709,101,23,1,1,Morning,Winter,0,0
2024-09-06 13:52:00,2021-10-28,1989-05-25,79.61591892132172,Electronics,2024,9,6,4,250,13,52,3,0,0,0,0,0,Friday,September,36,-0.25881904510252035,-0.9659258262890684,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1044,149,34,35,26-35,115,16,3,0,1,Afternoon,Summer,0,1
2023-05-02 23:10:00,2021-05-05,1986-03-14,59.4181438658712,Clothing,2023,5,2,1,122,23,10,2,0,0,0,0,0,Tuesday,May,18,-0.2588190451025207,0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,727,103,23,38,36-45,608,86,19,1,0,Evening,Spring,0,1
2024-04-11 08:33:00,2023-11-02,1995-07-16,111.6229561475278,Books,2024,4,11,3,102,8,33,2,0,0,0,0,0,Thursday,April,15,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,161,23,5,29,26-35,263,37,8,0,0,Morning,Spring,0,1
2023-08-03 11:34:00,2020-08-25,1981-05-22,161.24396743689496,Books,2023,8,3,3,215,11,34,3,0,0,0,0,0,Thursday,August,31,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,1073,153,35,43,36-45,515,73,16,1,1,Morning,Summer,0,1
2023-11-27 02:00:00,2022-05-11,1980-08-17,67.09642487651959,Electronics,2023,11,27,0,331,2,0,4,0,0,0,0,0,Monday,November,48,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.0,1.0,565,80,18,44,36-45,399,57,13,1,0,Night,Fall,1,1
2024-04-03 07:21:00,2021-05-26,1975-11-23,123.59812325848232,Electronics,2024,4,3,2,94,7,21,2,0,0,0,0,0,Wednesday,April,14,0.9659258262890683,-0.25881904510252085,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,1043,149,34,49,46-55,271,38,8,0,0,Morning,Spring,0,1
